arm,n_records,strict_accuracy,n_strict_accuracy,canonical_accuracy,n_canonical_accuracy,coverage,hallucination_rate,n_emitted,precision,n_precision,recall,n_recall,f1,anls,n_anls,absent_abstain_rate,n_absent,present_emit_rate,strict_accuracy_needs_norm,n_needs_norm,canonical_accuracy_needs_norm,strict_accuracy_verbatim,n_verbatim,mean_verify_iters,grounding_exact,n_grounding_exact,grounding_iou,n_grounding_iou,grounding_token_iou,n_grounding_token_iou,provenance_claim_rate,n_claimable,ece,ace,mce,brier,nll,aurc,error_auroc,mean_confidence,n_calibration,verify_iters_per_doc,verify_reselections_per_doc,verify_arith_checked_frac,verify_arith_ok_frac,eval_seconds,seed,family,source,note,heuristic_variant,train_seconds,n_params,llm_tokens_per_doc
heuristic,3200.0,0.758125,3200.0,0.8234375,3200.0,0.75625,0.0,2420.0,0.9706611570247934,2420.0,0.806108442004118,2914.0,0.8807649043869517,0.7438452027111238,2914.0,1.0,286.0,0.8304735758407688,0.0,214.0,0.9392523364485982,0.7925925925925926,2700.0,0.0384375,0.9706611570247934,2420.0,0.9722845641511006,2420.0,0.9728650137741047,2420.0,0.8304735758407688,2914.0,0.14371224825927123,0.14288580197827946,0.5513223323297521,0.08247943543593564,0.40235977510017884,0.014285321348819628,0.6710617044112268,0.8393456029803982,2420.0,0.3375,0.3075,0.835,0.9341317365269461,11.866528499987908,1,baseline,heuristic,"label synonyms + geometry, best of six on validation",row_only,,,
llm_stub,3200.0,0.756875,3200.0,0.756875,3200.0,0.744375,0.0,2382.0,0.8967254408060453,2382.0,0.733013040494166,2914.0,0.8066465256797583,0.7483810968908268,2914.0,1.0,286.0,0.817433081674674,0.7616822429906542,214.0,0.7616822429906542,0.7307407407407407,2700.0,0.0,,0.0,,0.0,,0.0,0.0,2914.0,,,,,,,,,0.0,0.0,0.0,0.0,,1.0947278999956325,1,baseline,llm,"offline deterministic stub; token-cost arm, not a real provider",,,,1098.035
generative,3200.0,0.05125,3200.0,0.05125,3200.0,0.874375,0.9992852037169406,2798.0,0.00035739814152966406,2798.0,0.00034317089910775565,2914.0,0.00035014005602240897,0.28714953081087813,2914.0,0.5699300699300699,286.0,0.9179821551132464,0.0,214.0,0.0,0.00037037037037037035,2700.0,0.0,,0.0,,0.0,,0.0,0.0,2914.0,0.4273142705302162,0.4273142705302161,0.6391725515111216,0.201999799532778,0.5898325741529373,0.999165078796456,0.7372184483375045,0.42767166867174583,2798.0,0.0,0.0,0.0,,1.309831499995198,1,reference,generative,"the reference approach: same encoder, character decoder",,590.8298849999555,201142.0,
generative_verify,3200.0,0.0896875,3200.0,0.0896875,3200.0,0.000625,0.0,2.0,0.5,2.0,0.00034317089910775565,2914.0,0.0006858710562414266,0.0005833905284831847,2914.0,1.0,286.0,0.0006863417982155113,0.0,214.0,0.0,0.00037037037037037035,2700.0,0.87375,,0.0,,0.0,,0.0,0.0,2914.0,0.05657660527324326,0.49543678541234143,0.5520133906855847,0.24865852060395882,0.690388554093148,0.125,1.0,0.5565766052732433,2.0,6.99,0.0,0.0,,0.17560029996093363,1,baseline,generative,reference approach plus the same verification loop,,590.8298849999555,201142.0,
span_only,3200.0,0.8765625,3200.0,0.939375,3200.0,0.9259375,0.0,2963.0,0.9426257171785353,2963.0,0.9584763212079616,2914.0,0.9504849412965799,0.8924424675454188,2914.0,0.7447552447552448,286.0,0.9917638984214139,0.0,214.0,0.9392523364485982,0.96,2700.0,0.0,0.9664359861591696,2890.0,0.9690138031052682,2890.0,0.9721164936562862,2890.0,0.9917638984214139,2914.0,0.031442753877585036,0.03211304904478771,0.1574366112750789,0.04734717320197437,0.16462367516386348,0.009284039472915864,0.8889745371832943,0.9112388140802,2963.0,0.0,0.0,0.0,,1.7793941000127234,1,ablation,span,"selection, verification disabled",,129.47099889995297,108892.0,
span_verify,3200.0,0.8846875,3200.0,0.9490625,3200.0,0.8759375,0.0,2803.0,0.987513378523011,2803.0,0.9498970487302677,2914.0,0.9683400384817211,0.8814878364981317,2914.0,0.9405594405594405,286.0,0.9560741249142073,0.0,214.0,0.9626168224299065,0.9488888888888889,2700.0,0.0703125,0.9935391241923905,2786.0,0.993590183590563,2786.0,0.9935391241923905,2786.0,0.9560741249142073,2914.0,0.07297756710288103,0.07297756710288102,0.44088142988308465,0.03711669590912662,0.12984014947431363,0.0023113013961494865,0.8511560693641619,0.9145358114201301,2803.0,0.6075,0.49,0.925,0.8702702702702703,1.636695499997586,1,ours,span,selection plus the bounded verification loop,,129.47099889995297,108892.0,
span_verify_norm,3200.0,0.9490625,3200.0,0.9490625,3200.0,0.8759375,0.0,2803.0,0.987513378523011,2803.0,0.9498970487302677,2914.0,0.9683400384817211,0.9529360176923662,2914.0,0.9405594405594405,286.0,0.9560741249142073,0.9626168224299065,214.0,0.9626168224299065,0.9488888888888889,2700.0,0.0703125,0.9935391241923905,2786.0,0.993590183590563,2786.0,0.9935391241923905,2786.0,0.9560741249142073,2914.0,0.07297756710288103,0.07297756710288102,0.44088142988308465,0.03711669590912662,0.12984014947431363,0.0023113013961494865,0.8511560693641619,0.9145358114201301,2803.0,0.6075,0.49,0.925,0.8702702702702703,2.0815710999886505,1,ours,span,plus deterministic date normalisation (weakens the substring guarantee),,129.47099889995297,108892.0,
