head,dec_max_len,latency_ms,iqr_ms,batch_size,seq_len,fitted_exponent
span,4,82.84395000373479,8.18277498910902,8,144,0.07760364499651384
span,8,80.03079998889007,8.917550017940812,8,144,0.07760364499651384
span,12,117.54825001116842,29.628575008246116,8,144,0.07760364499651384
span,16,82.62059999105986,8.194475005439017,8,144,0.07760364499651384
span,20,91.56605000316631,16.981725006189663,8,144,0.07760364499651384
span,24,96.37210000073537,30.300674967293162,8,144,0.07760364499651384
generative,4,92.15400001266971,10.601075016893446,8,144,0.7550790623324443
generative,8,175.14500000106636,54.250599998340476,8,144,0.7550790623324443
generative,12,211.15909999934956,45.66847501700977,8,144,0.7550790623324443
generative,16,259.2902000033064,10.213574998488184,8,144,0.7550790623324443
generative,20,317.81465001404285,12.014149986498524,8,144,0.7550790623324443
generative,24,377.521650007111,31.282774994906504,8,144,0.7550790623324443
