kind,ablation,switch,metric,value,full_value,delta,noise_scale,ratio_to_noise,verdict,n_seeds
inference,conf_threshold_0.5,min_confidence=0.5,canonical_accuracy,0.925625,0.9545833333333333,-0.028958333333333308,0.013907712938030704,2.0821779585446154,survives,3
inference,no_abstain,abstain=False,canonical_accuracy,0.9588541666666667,0.9545833333333333,0.004270833333333335,0.013907712938030704,0.3070837996414724,inside noise,3
inference,no_arithmetic,arithmetic=False,canonical_accuracy,0.9623958333333333,0.9545833333333333,0.0078125,0.013907712938030704,0.5617386578807421,inside noise,3
inference,no_type_check,type_check=False,canonical_accuracy,0.9376041666666666,0.9545833333333333,-0.016979166666666767,0.013907712938030704,1.2208453497941534,suggestive,3
inference,no_verification,enabled=False,canonical_accuracy,0.944375,0.9545833333333333,-0.010208333333333375,0.013907712938030704,0.7340051796308393,inside noise,3
inference,conf_threshold_0.5,min_confidence=0.5,coverage,0.85,0.8771875000000001,-0.027187500000000142,0.0195056081679091,1.3938299060436063,suggestive,3
inference,no_abstain,abstain=False,coverage,0.9215625,0.8771875000000001,0.04437499999999983,0.0195056081679091,2.27498674319759,survives,3
inference,no_arithmetic,arithmetic=False,coverage,0.9178125,0.8771875000000001,0.04062499999999991,0.0195056081679091,2.082734342363994,survives,3
inference,no_type_check,type_check=False,coverage,0.8918750000000001,0.8771875000000001,0.014687499999999964,0.0195056081679091,0.7529885699315977,inside noise,3
inference,no_verification,enabled=False,coverage,0.9215625,0.8771875000000001,0.04437499999999983,0.0195056081679091,2.27498674319759,survives,3
inference,conf_threshold_0.5,min_confidence=0.5,grounding_exact,0.994562302044708,0.9927107364587396,0.0018515655859683289,0.002184108043887236,0.8477445019949407,inside noise,3
inference,no_abstain,abstain=False,grounding_exact,0.9826571704507624,0.9927107364587396,-0.010053566007977244,0.002184108043887236,4.603053423164949,robust,3
inference,no_arithmetic,arithmetic=False,grounding_exact,0.9840353379025656,0.9927107364587396,-0.008675398556174052,0.002184108043887236,3.9720555860110904,robust,3
inference,no_type_check,type_check=False,grounding_exact,0.9712661704379139,0.9927107364587396,-0.021444566020825784,0.002184108043887236,9.81845476044268,robust,3
inference,no_verification,enabled=False,grounding_exact,0.9666123804577289,0.9927107364587396,-0.026098356001010736,0.002184108043887236,11.949205568860666,robust,3
inference,conf_threshold_0.5,min_confidence=0.5,hallucination_rate,0.0,0.0,0.0,0.0,,unknown,3
inference,no_abstain,abstain=False,hallucination_rate,0.0,0.0,0.0,0.0,,unknown,3
inference,no_arithmetic,arithmetic=False,hallucination_rate,0.0,0.0,0.0,0.0,,unknown,3
inference,no_type_check,type_check=False,hallucination_rate,0.0,0.0,0.0,0.0,,unknown,3
inference,no_verification,enabled=False,hallucination_rate,0.0,0.0,0.0,0.0,,unknown,3
inference,conf_threshold_0.5,min_confidence=0.5,strict_accuracy,0.8638541666666667,0.8887499999999999,-0.024895833333333228,0.012724545669688983,1.9565204117768504,suggestive,3
inference,no_abstain,abstain=False,strict_accuracy,0.8857291666666667,0.8887499999999999,-0.0030208333333332504,0.012724545669688983,0.23740205833275038,inside noise,3
inference,no_arithmetic,arithmetic=False,strict_accuracy,0.896875,0.8887499999999999,0.008125000000000049,0.012724545669688983,0.6385296741363845,inside noise,3
inference,no_type_check,type_check=False,strict_accuracy,0.8746875,0.8887499999999999,-0.014062499999999978,0.012724545669688983,1.1051475129283495,suggestive,3
inference,no_verification,enabled=False,strict_accuracy,0.8817708333333334,0.8887499999999999,-0.006979166666666536,0.012724545669688983,0.5484806175273936,inside noise,3
training,no_2d_pos,use_2d_pos=False,canonical_accuracy,0.9292708333333334,0.9545833333333333,-0.02531249999999996,0.013907712938030704,1.8200332515336015,suggestive,3
training,no_spatial_bias,use_spatial_bias=False,canonical_accuracy,0.9095833333333333,0.9545833333333333,-0.04500000000000004,0.013907712938030704,3.2356146693930774,robust,3
training,no_2d_pos,use_2d_pos=False,coverage,0.8782291666666667,0.8771875000000001,0.0010416666666666075,0.0195056081679091,0.053403444675996926,inside noise,3
training,no_spatial_bias,use_spatial_bias=False,coverage,0.84,0.8771875000000001,-0.03718750000000015,0.0195056081679091,1.9065029749332065,suggestive,3
training,no_2d_pos,use_2d_pos=False,grounding_exact,0.9723913483976214,0.9927107364587396,-0.020319388061118215,0.002184108043887236,9.303288872538621,robust,3
training,no_spatial_bias,use_spatial_bias=False,grounding_exact,0.9867443274963626,0.9927107364587396,-0.00596640896237699,0.002184108043887236,2.7317370947263595,survives,3
training,no_2d_pos,use_2d_pos=False,hallucination_rate,0.0,0.0,0.0,0.0,,unknown,3
training,no_spatial_bias,use_spatial_bias=False,hallucination_rate,0.0,0.0,0.0,0.0,,unknown,3
training,no_2d_pos,use_2d_pos=False,strict_accuracy,0.8673958333333333,0.8887499999999999,-0.021354166666666674,0.012724545669688983,1.6781869640763856,suggestive,3
training,no_spatial_bias,use_spatial_bias=False,strict_accuracy,0.8450000000000001,0.8887499999999999,-0.043749999999999845,0.012724545669688983,3.4382367068881914,robust,3
