arm,family,strict_accuracy,canonical_accuracy,coverage,hallucination_rate,grounding_exact,grounding_iou,precision,recall,f1,anls,absent_abstain_rate,error_auroc,aurc,ece,n_records
heuristic,baseline,0.7625,0.826875,0.755,0.0,0.9652317880794702,0.967055521244162,0.9652317880794702,0.808038808038808,0.879668049792531,0.7510520749208531,1.0,0.6703524462958426,0.0208736839922533,0.1404153684571337,3200.0
llm_stub,baseline,0.7565625,0.7565625,0.7459375,0.0,,,0.8826979472140762,0.7300762300762301,0.7991655604020481,0.7464738211061741,1.0,,,,3200.0
generative,reference,0.049375,0.049375,0.8909375,0.9985969835145564,,,0.0007015082427218,0.0006930006930006,0.0006972285166463,0.2781961615255257,0.4968152866242038,0.8459108459108459,0.9982855628917278,0.4169654505152546,3200.0
generative_verify,baseline,0.09875,0.09875,0.00125,0.0,,,0.5,0.0006930006930006,0.0013840830449826,0.0012127512127512,1.0,0.75,0.2708333333333333,0.066772519376325,3200.0
span_only,ablation,0.8759375,0.939375,0.91625,0.0,0.9623168178646196,0.9651088380116568,0.9406548431105048,0.9556479556479556,0.9480921278789962,0.890198630583246,0.7898089171974523,0.9054183024513848,0.0085346775613674,0.0240059824861168,3200.0
span_verify,ours,0.8825,0.94875,0.8640625,0.0,0.9909288824383164,0.9910627147334182,0.9877034358047015,0.9462924462924462,0.9665545921075916,0.8763993283224052,0.9713375796178344,0.9057552717168889,0.0013772900974372,0.069291525222799,3200.0
span_verify_norm,ours,0.948125,0.94875,0.8640625,0.0,0.9909288824383164,0.9910627147334182,0.9877034358047015,0.9462924462924462,0.9665545921075916,0.9507236526467296,0.9713375796178344,0.9057552717168889,0.0013772900974372,0.069291525222799,3200.0
