arm,head,batch_size,seq_len,params,encoder_params,head_params,mmacs,encoder_mmacs,head_mmacs,latency_ms,iqr_ms,latency_per_doc_ms,macs_per_ms,n_warmup,n_repeats,latency_reduction_vs_generative,params_reduction_vs_generative,macs_reduction_vs_generative
span_verify,span,1,154,108892,107852,1040,17.326848,17.169152,0.157696,17.725949990563095,4.745350008306559,17.725949990563095,0.9774848743917494,10,30,9.306322092399443,1.847169672703229,7.2580411624780234
span_verify,span,8,154,108892,107852,1040,96.115712,94.854144,1.261568,99.52279999561142,10.074450001411606,12.440349999451428,0.9657657542215285,10,30,3.3314798219248187,1.847169672703229,10.025132373778805
generative,generative,1,154,201142,107852,93290,125.758976,17.169152,108.589824,164.963400005945,12.242200020409655,164.963400005945,0.7623447140121254,10,30,1.0,1.0,1.0
generative,generative,8,154,201142,107852,93290,963.572736,94.854144,868.718592,331.5582000068389,24.376474997552577,41.44477500085486,2.9061948580373667,10,30,1.0,1.0,1.0
