arm,n_records,strict_accuracy,n_strict_accuracy,canonical_accuracy,n_canonical_accuracy,coverage,hallucination_rate,n_emitted,precision,n_precision,recall,n_recall,f1,anls,n_anls,absent_abstain_rate,n_absent,present_emit_rate,strict_accuracy_needs_norm,n_needs_norm,canonical_accuracy_needs_norm,strict_accuracy_verbatim,n_verbatim,mean_verify_iters,grounding_exact,n_grounding_exact,grounding_iou,n_grounding_iou,grounding_token_iou,n_grounding_token_iou,provenance_claim_rate,n_claimable,ece,ace,mce,brier,nll,aurc,error_auroc,mean_confidence,n_calibration,verify_iters_per_doc,verify_reselections_per_doc,verify_arith_checked_frac,verify_arith_ok_frac,eval_seconds,seed,family,source,note,heuristic_variant,train_seconds,n_params,llm_tokens_per_doc
heuristic,3200.0,0.7625,3200.0,0.826875,3200.0,0.755,0.0,2416.0,0.9652317880794702,2416.0,0.808038808038808,2886.0,0.879668049792531,0.7510520749208531,2886.0,1.0,314.0,0.8371448371448371,0.0,211.0,0.933649289099526,0.7947663551401869,2675.0,0.0315625,0.9652317880794702,2416.0,0.9670555212441619,2416.0,0.967784216335541,2416.0,0.8371448371448371,2886.0,0.14041536845713376,0.13655223379929718,0.5428295136927579,0.08464361475028755,0.4284988159215629,0.020873683992253343,0.6703524462958426,0.8388892673044557,2416.0,0.2725,0.2525,0.7775,0.9517684887459807,6.41342729999451,0,baseline,heuristic,"label synonyms + geometry, best of six on validation",row_only,,,
llm_stub,3200.0,0.7565625,3200.0,0.7565625,3200.0,0.7459375,0.0,2387.0,0.8826979472140762,2387.0,0.7300762300762301,2886.0,0.7991655604020481,0.7464738211061741,2886.0,1.0,314.0,0.8270963270963271,0.7298578199052133,211.0,0.7298578199052133,0.7300934579439252,2675.0,0.0,,0.0,,0.0,,0.0,0.0,2886.0,,,,,,,,,0.0,0.0,0.0,0.0,,0.8368139999802224,0,baseline,llm,"offline deterministic stub; token-cost arm, not a real provider",,,,1098.5925
generative,3200.0,0.049375,3200.0,0.049375,3200.0,0.8909375,0.9985969835145563,2851.0,0.0007015082427218519,2851.0,0.000693000693000693,2886.0,0.0006972285166463307,0.2781961615255257,2886.0,0.4968152866242038,314.0,0.9331254331254332,0.0,211.0,0.0,0.0007476635514018691,2675.0,0.0,,0.0,,0.0,,0.0,0.0,2886.0,0.4169654505152546,0.4169654505152546,0.5885847760350027,0.1920330448658372,0.568271814702841,0.9982855628917278,0.8459108459108459,0.41766695875797644,2851.0,0.0,0.0,0.0,,0.6838674999889918,0,reference,generative,"the reference approach: same encoder, character decoder",,605.8363532000221,201142.0,
generative_verify,3200.0,0.09875,3200.0,0.09875,3200.0,0.00125,0.0,4.0,0.5,4.0,0.000693000693000693,2886.0,0.001384083044982699,0.0012127512127512127,2886.0,1.0,314.0,0.001386001386001386,0.0,211.0,0.0,0.0007476635514018691,2675.0,0.8896875,,0.0,,0.0,,0.0,0.0,2886.0,0.066772519376325,0.4963283368409078,0.5665958391441911,0.2508183322521456,0.6947306164408359,0.2708333333333333,0.75,0.566772519376325,4.0,7.1175,0.0,0.0,,0.09125350002432242,0,baseline,generative,reference approach plus the same verification loop,,605.8363532000221,201142.0,
span_only,3200.0,0.8759375,3200.0,0.939375,3200.0,0.91625,0.0,2932.0,0.9406548431105047,2932.0,0.9556479556479557,2886.0,0.9480921278789962,0.890198630583246,2886.0,0.7898089171974523,314.0,0.9930699930699931,0.0,211.0,0.957345971563981,0.9551401869158879,2675.0,0.0,0.9623168178646196,2866.0,0.9651088380116568,2866.0,0.967597115608281,2866.0,0.9930699930699931,2886.0,0.02400598248611688,0.025421568821470206,0.09991331190681785,0.044552134895905954,0.15508942769276932,0.00853467756136748,0.9054183024513849,0.9173891596130183,2932.0,0.0,0.0,0.0,,0.8742038999916986,0,ablation,span,"selection, verification disabled",,217.906282299984,108892.0,
span_verify,3200.0,0.8825,3200.0,0.94875,3200.0,0.8640625,0.0,2765.0,0.9877034358047017,2765.0,0.9462924462924462,2886.0,0.9665545921075916,0.8763993283224052,2886.0,0.9713375796178344,314.0,0.954954954954955,0.0,211.0,0.995260663507109,0.9416822429906542,2675.0,0.0709375,0.9909288824383164,2756.0,0.9910627147334182,2756.0,0.9909288824383164,2756.0,0.954954954954955,2886.0,0.06929152522279902,0.06929152522279898,0.4337847918752809,0.03618309485881203,0.12619576753569428,0.0013772900974372997,0.9057552717168889,0.9184119105819026,2765.0,0.625,0.5125,0.865,0.8526011560693642,0.8479968000319786,0,ours,span,selection plus the bounded verification loop,,217.906282299984,108892.0,
span_verify_norm,3200.0,0.948125,3200.0,0.94875,3200.0,0.8640625,0.0,2765.0,0.9877034358047017,2765.0,0.9462924462924462,2886.0,0.9665545921075916,0.9507236526467295,2886.0,0.9713375796178344,314.0,0.954954954954955,0.995260663507109,211.0,0.995260663507109,0.9416822429906542,2675.0,0.0709375,0.9909288824383164,2756.0,0.9910627147334182,2756.0,0.9909288824383164,2756.0,0.954954954954955,2886.0,0.06929152522279902,0.06929152522279898,0.4337847918752809,0.03618309485881203,0.12619576753569428,0.0013772900974372997,0.9057552717168889,0.9184119105819026,2765.0,0.625,0.5125,0.865,0.8526011560693642,0.8528780000051484,0,ours,span,plus deterministic date normalisation (weakens the substring guarantee),,217.906282299984,108892.0,
